Beta(2,2)
N =10 	 missing=0.0000 
N =60 	 missing=0.0000 
N =110 	 missing=0.0000 
N =160 	 missing=0.0000 
N =210 	 missing=0.0000 
N =260 	 missing=0.0000 
N =310 	 missing=0.0000 
N =360 	 missing=0.0000 
N =410 	 missing=0.0001 
N =460 	 missing=0.0000 
N =510 	 missing=0.0000 
N =560 	 missing=0.0000 
N =610 	 missing=0.0000 
N =660 	 missing=0.0000 
N =710 	 missing=0.0000 
N =760 	 missing=0.0000 
N =810 	 missing=0.0000 
N =860 	 missing=0.0000 
N =910 	 missing=0.0000 
N =960 	 missing=0.0000 
N =1010 	 missing=0.0000 
Beta(20000,1)
N =10 	 missing=0.0000 
N =60 	 missing=0.0000 
N =110 	 missing=0.0000 
N =160 	 missing=0.0000 
N =210 	 missing=0.0000 
N =260 	 missing=0.0000 
N =310 	 missing=0.0000 
N =360 	 missing=0.0000 
N =410 	 missing=0.0000 
N =460 	 missing=0.0000 
N =510 	 missing=0.0000 
N =560 	 missing=0.0000 
N =610 	 missing=0.0000 
N =660 	 missing=0.0000 
N =710 	 missing=0.0000 
N =760 	 missing=0.0000 
N =810 	 missing=0.0000 
N =860 	 missing=0.0000 
N =910 	 missing=0.0000 
N =960 	 missing=0.0000 
N =1010 	 missing=0.0000 
Beta(1, 20000)
N =10 	 missing=0.0000 
N =60 	 missing=0.0000 
N =110 	 missing=0.0000 
N =160 	 missing=0.0000 
N =210 	 missing=0.0000 
N =260 	 missing=0.0000 
N =310 	 missing=0.0000 
N =360 	 missing=0.0000 
N =410 	 missing=0.0000 
N =460 	 missing=0.0000 
N =510 	 missing=0.0000 
N =560 	 missing=0.0000 
N =610 	 missing=0.0000 
N =660 	 missing=0.0000 
N =710 	 missing=0.0000 
N =760 	 missing=0.0000 
N =810 	 missing=0.0000 
N =860 	 missing=0.0000 
N =910 	 missing=0.0000 
N =960 	 missing=0.0000 
N =1010 	 missing=0.0000 
Bern(0.99999)
N =10 	 missing=0.0000 
N =60 	 missing=0.0000 
N =110 	 missing=0.0000 
N =160 	 missing=0.0000 
N =210 	 missing=0.0000 
N =260 	 missing=0.0000 
N =310 	 missing=0.0000 
N =360 	 missing=0.0000 
N =410 	 missing=0.0000 
N =460 	 missing=0.0000 
N =510 	 missing=0.0000 
N =560 	 missing=0.0000 
N =610 	 missing=0.0000 
N =660 	 missing=0.0000 
N =710 	 missing=0.0000 
N =760 	 missing=0.0000 
N =810 	 missing=0.0000 
N =860 	 missing=0.0000 
N =910 	 missing=0.0000 
N =960 	 missing=0.0000 
N =1010 	 missing=0.0000 
Bern(0.00001)
N =10 	 missing=0.0000 
N =60 	 missing=0.0000 
N =110 	 missing=0.0000 
N =160 	 missing=0.0000 
N =210 	 missing=0.0000 
N =260 	 missing=0.0000 
N =310 	 missing=0.0000 
N =360 	 missing=0.0000 
N =410 	 missing=0.0000 
N =460 	 missing=0.0000 
N =510 	 missing=0.0000 
N =560 	 missing=0.0000 
N =610 	 missing=0.0000 
N =660 	 missing=0.0000 
N =710 	 missing=0.0000 
N =760 	 missing=0.0000 
N =810 	 missing=0.0000 
N =860 	 missing=0.0000 
N =910 	 missing=0.0000 
N =960 	 missing=0.0000 
N =1010 	 missing=0.0000 
U(0, 0.001)
N =10 	 missing=0.0000 
N =60 	 missing=0.0000 
N =110 	 missing=0.0000 
N =160 	 missing=0.0000 
N =210 	 missing=0.0000 
N =260 	 missing=0.0000 
N =310 	 missing=0.0000 
N =360 	 missing=0.0000 
N =410 	 missing=0.0000 
N =460 	 missing=0.0000 
N =510 	 missing=0.0000 
N =560 	 missing=0.0000 
N =610 	 missing=0.0000 
N =660 	 missing=0.0000 
N =710 	 missing=0.0000 
N =760 	 missing=0.0000 
N =810 	 missing=0.0000 
N =860 	 missing=0.0000 
N =910 	 missing=0.0000 
N =960 	 missing=0.0000 
N =1010 	 missing=0.0000 
U(0.999, 1)
N =10 	 missing=0.0000 
N =60 	 missing=0.0000 
N =110 	 missing=0.0000 
N =160 	 missing=0.0000 
N =210 	 missing=0.0000 
N =260 	 missing=0.0000 
N =310 	 missing=0.0000 
N =360 	 missing=0.0000 
N =410 	 missing=0.0000 
N =460 	 missing=0.0000 
N =510 	 missing=0.0000 
N =560 	 missing=0.0000 
N =610 	 missing=0.0000 
N =660 	 missing=0.0000 
N =710 	 missing=0.0000 
N =760 	 missing=0.0000 
N =810 	 missing=0.0000 
N =860 	 missing=0.0000 
N =910 	 missing=0.0000 
N =960 	 missing=0.0000 
N =1010 	 missing=0.0000 
